Class	Average Difficulty	Additional Comments	Difficulty	Date
POSC160S	7.00	Taken with Pererya-Johnston. Very straightfoward class with 2 exams and a paper. Only slighly annoying thing is that discussion section attendance was mandatory	4	5/27/2021
		Spring 23, asynchronous with Prof Noel Johnston. This was my second time taking this professor. I like this professor a lot as he is very kind and knowledgeable. The midterm is extremely difficult and I would not suggest having Eun-A as a TA and she does not help you. Eun-A also requires cameras to be on for discussion and she is not very nice at all. The one thing I liked about Prof Noel is that he curves grades so this helps with your overall class grade. 	10	5/29/2023
POSC161	3.00	Taken with Serieux-Lubin. Straightforward asynchronous class with somewhat long video lectures. TA was a bit of a mess and graded wildly, but besides that, the classroom components are easy.	4	3/18/2021
		Took this with Serieux-Lubin and was the easiest upper division polisci class I've ever taken. I took this online and it was asynchronous, I honestly forgot about it most of the time, and I managed to get a 98% in the class. She offers a TON of extra credit to the point where you can fail every test and still do well in the class with the EC. Take this if you want an easy A. 	2	12/16/2021
POSC163	5.50	Ethnic politics with professor Dionne. It was a fascinating course, I feel that you'll question and/or consolidate your identity after taking it. It's made up 9 quizzes(so one per week, based on the readings and class material), a 500-word essay (based on a transformative moment you experienced due to the material of the course), and participation in class. Overall, as long as you do the readings and participate in class it will be a breeze. Additionally, the professor is passionate about the material, so she will help you no matter what. Highly recommend it!	5	12/11/2021
		I took this with Dionne, she’s a sweetheart. This class was really eye-opening and such a great experience. The grading is 70% weekly quizzes (9 total, 2 dropped), 10% reflection paper (500 words), and 20% participation (self-assessed). The quizzes are based on about 80-150 pages of reading and about an hour worth of videos/podcasts, and are open note. As long as you pay attention in class, and do the readings, you're golden. 	6	12/16/2021
POSC165S	7.00	Taken with Professor Indridason. While the lectures move quickly, they're very interesting and honestly pretty fun. Professor Indridason is incredibly knowledgeable and very very helpful, as long as you do not hesitate to ask questions. His lectures are thorough and grading felt very fair, though that may be because I had a very understanding TA. Grades were based on papers, I think we did 2 or 3, and are fairly easy to write with clear prompts. Taking notes and paying attention is CRUCIAL to the course. 	7	11/3/2021
POSC166	7.00	Taken with Cioffi. Dude's exam was hard and his lectures are delivered in a boring fashion. He is SUPER smart though. He sorta drops hints about his exams when he talks so you should pay attention to EVERYTHING he says. 70% of grade is determined through Midterm Essay and Final	7	5/10/2020
POSC167	8.00	Taken with Cioffi. Super hard course with so much readings. He literally could bury you with his readings. They are also super boring and pretty dense, but that is conlaw itself. Hypotheticals are not as difficult as he makes them seem to be. Need to memorize so many cases and doctrines	8	5/10/2020
POSC168	4.00	Taught by Osorio. Course was very easy, but had a lot of daily assignments (e.g. daily quizzes and readings). Made memes and listened to podcasts. Not taught like how a traditonal law course, but learned some cool stuff. Participation makes or break the grade though	4	9/7/2020
POSC182	5.00	Taken with Noel Johnston. Simple asynchronous class with a lot of application of theoretical concepts. It can be tough, but the concepts themselves are broken down very well. Midterm's and Finals are very fair and require a lot of application. Some extra credit opportunities are available	5	3/18/2021
POSC182G	8.00	Taken Fall22 Online Asyncrounous with Prof Noel Johnston. This class is hard, but the professor doesn't make it hard. The concepts are a little difficult to understand. He uploads two small videos a week which are really helpful. there are no assignments for this class besides the three tests. The tests consist of 7-10 multiple choice/response questions. The tests are quite tricky but you can use your notes, videos, and TAs during the exam. 	8	11/21/2022
POSC198G	3.00	Do the readings and Loveridge will give you a good grade. Essentially, don't be exceptionally lazy.	3	8/23/2018
POSC201	9.00	Methods class taken with Weller. There are so mant readings, 4 short but concise papers that was really tough, and a lot of application of readings. You must read or you will fail this class. 	9	11/10/2021
POSC254	7.00	Taken with Professor Ritchie. Grad seminar that foucsed on a lot of readings and hard discussions. This course has a research design component that is pretty tough to do. Good professor who makes you feel very comfortable in class	7	11/10/2020
PSYC001	3.13	He gives you most of the answers to the test questions every lecture. So I got a B just by studying all the test questions he gave us. Never went to lecture.	1	7/1/2017
		Steve Clark is an amazing professor. I didnt even open the book for my two midterms and got an A and a B. Just go to his lectures, a lot of the quiz content is about his anecdotal examples. 10/10 would take again	3	3/27/2018
		Rosenbaum is a gem. Easy A. Gives you 20/25 exam questions ahead of time	1	2/6/2019
		Very easy for people who aren’t into psychology. Highly recommend taking it for a requirement. 	2	5/30/2019
		Huffman is amazing at explaining the material and really funny, definitely take it with her if possible. Everything is based on the notes, don't waste time buying the textbook. You'll definitely have to do some studying but most of it is easy 	4	6/11/2019
		Took it with Dr. Huffman. Good professor especially if you are desiring to take more PSYCH classes. Reading the textbook isn't super super important, so you can probably get away with not reading it because she mentions how theres only like two to three questions on the exam where the information comes from the book. Key to doing well in the class is memorization and understanding the notes she post on iLearn. Lecture is important to as she says things that rewards those students who attend lecture, but can get from a friend. Got a B+ and read the book and went to lecture, but beware of the Neuroscience part, required a lot of memorization but is doable. Note... on her power point there are presenter notes when you download them... OPEN THOSE and study those too.. questions from midterms and final were from there I vividly remember that. 	6	6/13/2019
		Had Dr. Huffman. There was 2 midterms and they were mostly from lecture slides and a few extra credit questions from the random things that she talks in lectures. You don't really need the textbook since the exams are mostly from lectures	2	6/15/2019
		Take this with Huffman. She's funny and actually made me want to come to lecture. Studying required a bit but you can pass without using the textbook at all. Write down some of the weird stuff she says in class, they come up on the test.	3	11/7/2019
		prof huffman: easy to get a B, hard to get an A 	6	12/15/2019
		If you took AP Psych in high school, it is basically a review of that. I never went to class or studied and got a B. I had Dr. Huffman, she's really kind. There's no homework but there are pretty much quizzes every discussion and 2 midterms and a final that make up your grade. Also, she drops the 2 lowest quiz scores	4	2/29/2020
		Took it with Professor Steven Clark. Always attend lectures because his exams focus more on what he discusses in class than the book. He posts his slides but they are extremely vague, so it won't be that helpful if you don't pay attention in class.	8	4/22/2020
		Easy A with Rosenbaum	1	8/10/2020
		took it in the summer with Dr. Huffman, intense 5 weeks. 9 quizzes (lowest one dropped), 1 midterm (average was 87% - 80 multiple choice questions, no backtracking), 1 final exam (80 multiple choice questions, non-cumulative), discussion attendance is mandatory for points, and some zaps & inquiztive assignments weekly. The whole course was on canvas, each week was posted in advance, no required live lecture meetings! 	4	8/28/2020
		Took it with Huffman. I think overall, it was decently easy. If you followed the textbook, read what you needed to, you could ace the exams. Recommend	4	9/30/2020
		Had this class online with Professor Ditta and would highly recommend. She is very passionate about what she teaches, and offers a bunch of extra credit. The assignments themselves are not very difficult. There are weekly assignments for discussion section, and lecture attendance is not mandatory. 	3	12/11/2020
		Professor Ditta is the best! She made the class flexible and very straightforward. There was 1 final, weekly assignments that are pretty easy, and extra credit quizzes. I'm really going to miss her class because she's just so kind and you can tell she enjoys teaching. Overall, an amazing class!!!	1	12/18/2020
		Took this class because everyone said it was easy but I almost failed. I took it with Professor Clark. He was very nice but I just couldn't stay engaged during lectures. His lectures also don't have words with bullet points so it's mostly just listening, which makes it hard for me. He is very approachable and willing to help so that is nice.	8	12/28/2020
		"Taken with Ditta in Fall 2020. Extremely chill online zoom lectures which I RECOMMEND TAKING NOTES ON (it'll help for the PSYC 001 study guide she releases a week or two before the final). I 100% RECOMMEND DITTA... EXTREMELY HELPFUL AND WANTS TO HELP YOU LEARN THE MATERIAL...LOVES TALKING WITH STUDENTS ABOUT VIDEO GAMES, OTHER TOPICS OUTSIDE OF CLASS AND IN OFFICE HOURS. She gives no midterm as well, only the final, and there are weekly assignments as well as a final project. On another note, she requires 4 hours of ""research participation"", which is done online. The research consists mostly of taking online quizzes that are used in UCR studies and each one is worth an hour, so do 4 quizzes on the UCR research site for easy completion. "	2	1/4/2021
		took online with professor ditta, she's great at teaching the material and gives you everything you need to succeed in the class. 1 midterm, 1 cumulative final & a final media project, all free response but it's open note/textbook. there are also lots of extra credit quiz opportunities!	3	3/29/2021
		Took this class Winter 2021 with Professor Ditta! AMAZINGGGG PROFESSOR I highly recommend her! She kept online lectures interesting and fun, & also provides a synchronous or asynchronous option for her students. The workload was not hard at all and the midterm and final was easy if you just watch the lectures. She is super organized so it made things so easy. Chapter in the textbook every week (although you don't really have to but the textbook is super interactive so it was very easy to read), Quizzes for every chapter (but you can just keep going till you get 100%, questions are unlimited), and then an assignment every week (but it was lowk busy work, only takes about 20 minutes). At the beginning of the week she also sends out what should be done for the week which is superrr helpful. Oh and media project at the end (I just did a tiktok and got a 102%, super easy) and UCR research hours (just participate in a study) Take this class!!! You'll enjoy it. Got an A+	3	4/18/2021
		Rosenbaum gives you all the answers in the lectures and in the reading. He is so adorable and sweet. He makes me laugh and makes it interesting. Make sure to go to every lecture and participate in every discussion if you want points. Hunter the discussion TA is really nice. Don't miss the midterm or the exam or you will have to write a paper.	5	5/18/2021
		"I took PSYC1 with Professor Ditta. She's really nice and tries hard to make the class engaging. It's pretty easy to get an A if you put in a little effort. Most of my friends and I ended with a 100%. The main assignments are a midterm, final, and a project. There are also discussion activities and weekly ""quizzes,"" that you can take until you get a 100%. 

This class is basically just about putting in effort and it's pretty interesting!"	3	6/2/2021
		Took with Rosenbaum. Easy A if you just put in a little work	2	3/27/2022
		Took the class with Annie Ditta and she slays. She is very nice and considerate. She hold her lectures in person but will have live zoom and records the lectures. Assignments are pretty easy the midterm/final are open note. 	2	12/2/2022
		Had Professor Ditta in-person. A great professor, very flexible and understanding. Easy A if you do all the work. All quizzes, tests, and finals were open-note and open-internet.  	2	12/9/2022
PSYC002	3.25	Easier than PSYCH001 imo	3	3/28/2017
		Its an ipen notes class	10	3/28/2017
		Extremely easy if taught by Prof. Sy. Barely went to lecture and passed with an A	3	3/14/2018
		Pretty easy, especially if you have  Dr. Rachel Wu. She does an amazing job breaking everything down. Don't really need the textbook because all of her tests/quizzes are based on the slides!	2	9/1/2018
		professor murray makes it fun and interesting, lots of EC opportunities in class but has clickers (20%) also in class, 4 exams each 20%	5	6/4/2019
		You are required to go to discussion like 25% of your grade depends on this...	4	12/16/2019
		Taken with Barton. Easiest of the series, most people will do better than they did in A and B. No curve, but tests are very fair.	5	12/17/2019
		Took with Rachel Wu. Really easy class. Quizzes can be taken twice, no midterm, final is online and open note. Assigned homework is minimal, just 3 simple newspaper article assignments throughout the quarter. Discussion section attendance part of grade. Go to lecture, read the textbook.	2	3/17/2020
		"Had it with Professor Davis Spring 2020 and she is so nice. My TA was also amazing - Pamela Sheffler. Only thing you need to do to ace the class is memorize the slides. 4 exams, the lowest one gets dropped so if you're satisfied with your grade you don't need to take the ""final"". "	2	6/12/2020
		I had Danielle Delany in summer session A for psych. She was super nice and easy-going. Her lectures were easy to understand. The tests were pretty much about the material covered in lecture. If you have her just make sure you know the lecture slides and you'll pass. 	3	7/29/2020
		"Took it with Prof SETO during online format and it was horrible to say the least. His exams required deep understanding of the material which he did not equip us for. I aced phys2A/B but I struggled with his teaching method in 2C. A lot of people would agree he could do MORE examples similar to what he would expect from us and just overall put more effort. I ended up with a B+ so its ""do-able"""	8	8/27/2020
		HELLA easy if you take this class with Professor Sy. Took this class during Fall 2020(online b/c of covid) and he only had 2 lectures live and made the rest of them asynchronous. Just keep up with watching the lectures(like 2 per week) and use the notes you take from them to fill out the study guides he sends out before the exams and you are guaranteed an A on the exams. Exams including the final were non-cumulative and open note + open textbook. Also, go to discussion because they take attendance and it counts towards your grade quite a bit.   	2	12/13/2020
		I had Prof. Wu for PSYC002 during online classes. All of the lectures, quizzes, and exams are asynchronous, so it's super helpful to go at your own pace. My advice to make sure you don't procrastinate because it WILL screw you over in the end. Make sure you watch the lecture videos and attend the discussion and you'll be fine. I finished with an A. 	6	3/8/2021
		I took PSYC2 with Professor Sy. Honestly, I would recommend if you just want an A. I feel that I didn't learn a ton, but the class was really easy. All the tests were multiple choice and open book. The professor is also super nice and upbeat. There wasn't much homework, just reading, which I guess was optional. The textbook is a little boring, but hey, it's free!	2	6/2/2021
		Took with Rachel Wu Winter 2021. Super easy class. Hardest part is just remembering to do it. Look up a psych article and write about it, sign up for studies, do the open note quizzes. That's it.	2	11/7/2021
		Professor Elizabeth Davis is awesome and her class is soooo easy. You have to buy the textbook to get access to InQuizitive, which is a downside, but the material is really interesting, and it's so easy. There are weekly quizzes on canvas, weekly inquizitives, and a weekly discussion assignment, which was a 500-word response based on the topics for the week. Her TAs are all super nice and very passionate. No exams either!!!! 	2	6/15/2022
		*Fall 2022 Online* Since it was online everything was open note so I don't know how it'll be in person. Professor Sy is a great professor and made lecture really fun!	1	6/18/2022
		Had with prof. Sy, just go over the slides, 90% of the test content is on there. The exams have a generous curve and its all multiple choice. Only a ~1k word essay at the end of the quarter is needed, but you get full credit if you even try a bit, can finish in 2 hours because the prompt is very easy. 	4	12/20/2022
PSYC011	5.40	Take with professor psy because he makes course easy	1	3/28/2017
		Took it with Coulombe. She talks really fast, but she makes the content pretty easy. If you took AP Stat, you're chill, but if you're not good with stat, you might need more practice. It's pretty straightforward except for the last two weeks (It's a little confusing, but still okay). Somewhat of an easy A if you pay attention tbh	5	3/4/2019
		Take with Dr. Annie Ditta if at all possible! She is overall extremely nice and understanding, and allows a cheatsheet (front and back of one paper) for exams. She also breaks down the concepts super simply and goes fairly slow/thorough to make sure everyone understands. Just understand the basic concepts/write down the differences between the types of tests for exams and you'll be fine.	5	3/16/2020
		Take with Prof. Natsuaki- makes sure you understand material and TA's pretty good	3	4/6/2020
		Took it with Duyen Trang. If you took AP stats in high school, then you'll be fine. If you didn't, Duyen does a great job at showing how to do it in a neat and easy way to understand. 2 midterms and 1 cumulative final - all open notes - that are open for several days for you to complete. About 3-4 homeworks are due before each midterm/final that are graded based on completion. Duyen also holds review section a day before each exam. Attend those because she goes over the study guide and it really helps.	4	7/1/2020
		Very math intensive. However, Natsuaki made this class pretty okay. I've never taken stats and I did fairly okay. Conceptually, it gets a little iffy at time and oh boy, the calculations are endless but not overall a super hard class. Lectures a bit boring but would recommend with Natsuaki overall. 	5	9/30/2020
		Took it with Natsuaki in Fall (Online). Honestly stats was really scary going into this but I came out loving the subject. The course is vigorous so carry your weight and you’ll do well. Also don’t be afraid to go to office hours for your TA since they do all your grading. We had 3 midterms and  a cumulative final. Also one paper and 2 weekly assignments. Like I said it’s vigorous but it’s not innately hard. Discussions were not mandatory except the last one to show a portfolio (another assignment). I would definitely invest in an iPad or a tablet so you can hand write upload your homework and test work easily. It saves a lot of time during exams. Exams were not proctored but make sure you show your work. 	5	12/28/2020
		Asynchronous with Natsuaki. Really good professor who understands that students may be anxious about this course and provides a lot of examples. TAs are also really helpful when it comes to reviewing material or hw. There's 3 midterms and a final but she drops the lowest midterm grade. There's 2 hw each week but they're not too bad. I'm not a math person but Natsuaki and my TA made this course not as bad as it seems	5	12/9/2021
PSYC012	5.08	Take over the summer so you don't have to complete 2+ research papers. 	8	3/27/2018
		Took it with Prof Franchak. The textbook comes with inquizitive so make sure to do those assignments for easy points. 3 midterms and 1 cumulative final. Study his slides and take the practice quizzes and you should do fine. Grade is split 50/50 between lecture and lab (aka research papers) papers are most important ask your TAs for help and don’t procrastinate those	6	6/21/2019
		I had Prof. Ditta and she was honestly one of my favorite professors I’ve had. She allows a 1-paged (front&back) cheat sheet on all exams and allows test corrections to get points back on midterms. She is genuinely super helpful and wants her students to succeed.	2	12/13/2019
		"Dr. Calanchini is a great professor and a very understanding person. He's great at applying concepts to relatable/funny real-life examples. Overall the material itself is easy, there's just kind of a lot of it. He does a ""midterm"" every 2 weeks (5 total, 20 questions each) which sounds awful but it makes the class way easier because you only have to memorize 2 weeks worth of material at a time rather than 5. They're usually pretty easy, and at least for Spring 2020 (online/during the pandemic), they were all open book/open notes. Usually there are 2 research proposals throughout the quarter but for Spring 2020 there was only 1. Either way, don't get behind on it! Also, DO THE INQUIZITIVES. They are basically practice for his ""midterms""/final."	6	5/15/2020
		Took this online during Spring 2020. Dr. Calanchini is an awesome instructor and also very nice/pretty lenient. The material itself isn't hard but there is a LOT of work, mainly because of the research proposal project.	8	6/3/2020
		Dr. Franchak was good professor. I enjoyed his lectures that would often have a bit of humor embedded within. There was a lot of content that was covered, but Dr. Franchak did a great job of organizing how the content was taught. I appreciated his willingness to be lenient on assignment due dates. He explained everything well and gave plenty of opportunities for students to improve their grades. Everything was on quizlet pretty much (Online Spring Quarter 2020 btw).	4	6/4/2020
		This class was actually pretty nice. For a 6 unit class during Spring of 2020, it was manageable. The Prof (Franchak) was SUPER understanding of the events that were happening at the time. Just off of how lenient he was and understanding of how people were dealing with things (1 paper instead of the usual 2, dropped lowest test, very communicative) during those times, I would recommend. 	6	9/30/2020
		Took with prof Franchak, he posts the lecture on Yuja. He is a great professor, there are 5 quizzes, final is a quiz as well. The quizzes are open note but you still need to know the material to answer the short answer questions. There is one 6 page research paper, but the discussion assignments help with it.	5	11/20/2020
		Calanchini - just do the inquisitives and take extra credit opportunities; materials are organized and it’s easy to reach out to the prof for help	3	12/2/2022
		Took with Professor Calanchini. Super kind and gives a good amount of extra credit opportunities.	4	1/25/2023
		took it with Megan Robbins. low rmp rating but she's actually rly good. no curveballs in her exams (some convoluted questions) but not terrible enough to where you'll get any lower than a B+ if you try hard enough. grade based on midterm, final and research proposal paper. procrastinated my paper to the last week but was able to get a 98% on it. just follow the rubric and you'll b okay! overall super easy and she's super kind and accommodating	4	5/14/2023
		Took with Dr. Megan Robbins. She explains things really well. Heavy emphasis on making sure no one plagiarizes. The discussion assignments are fairly easy and pretty straightforward. The midterm and final are tough so make sure you review, but you'll get a good grade if you study! Had one final research proposal paper (got 100%). Much of the discussion classes prepare you for the paper. During discussion, you will also learn to analyze data (applies concepts from PSYC011), as well as the use of excel. I recommend you go to TA office hours for help on the paper where they can make direct connections!	5	5/27/2023
PSYC013	10.00	PROFESSOR CURT BURGESS CANNOT FUCKING TEACH	10	10/8/2021
PSYC037	3.00	Best advice, create a google doc with the whole class and work on it for your midterm and final exam. Attend lecture if you can understand the topics easily, but if not, just take notes from the book. The final exam is 50% of your grade, but he does curve! Lecture and discussion aren't mandatory. 	3	12/18/2019
PSYC049	2.33	Psychology of Creativity: Professor Ditta is probably one of the best professors ever. She really prioritizes the learning and understanding of her students in terms of making her lectures very engaging by adding activities that help you understand the concepts. She has weekly quizzes that give you a sense of how she writes her exam questions which I find very useful. There are 2 midterms and 1 Final project (no final exam). 	5	11/5/2019
		Annie Ditta was the professor and she was a new professor to UCR. She makes the class so engaging and brings in interesting guest lecturers. Exams are extremely easy if you just simply memorize the content/ use common sense. There's a project at the end of the class, it's very simple practically everyone gets 100s. Just make sure to show up to every discussion. 	1	6/17/2020
		Prof. Brianna Mcgee was great and funny. Her lectures are actually interesting and the class is super easy, no midterm and the final is basically what you will be working on during the second half of the quarter.	1	2/15/2022
PSYC110	7.17	My professor was Dr. Abdulrazak. The class has a lot of information to remember, which made it difficult. Just read the lecture slides and textbook. There are 3 tests in total (“final” is not cumulative). Tests are fair, nothing too tricky. Average is usually ~76%. Also, there are 3 pop quizzes given in lecture so be sure to always attend class. 	7	12/16/2018
		Dr. Peter Hickmott is amazing and uploads all the slides. Tests are totally based on lecture slides and it isn't that big of a deal if you miss some classes (attendance isn't taken), but he explains concepts really well and it's easier to study if you attend lecture. It's kind of a lot of work because there is a lot of material to study, but most of the concepts themselves aren't very hard and the class is enjoyable overall.	6	3/16/2020
		I had Dr. Hickmott. Two midterms, one final, no homework. This is a very difficult class, but his passion for the material and teaching puts the course in a propitious perspective. Best advice is ALWAYS stay on top of the material, especially if you're a neuroscience major!!! The exams cover lecture/discussion material, so attend both. He doesn't try to trick you - everything is straight forward - but do pay attention to the greater details. 	9	3/22/2020
		Korzus’s exams were super hard for no reason. The exams were nothing like the study guide. 	8	6/21/2020
PSYC115	4.00	Quiz and essay/project heavy. Final is much harder than midterm. 	7	3/27/2018
		Kathleen Conner led the class as a TA. She was very easy. Half the class got a solid A. Midterm and final are literally based off the slides. Highly recommend for an easy A.	1	7/25/2021
		Took the class with Hickmott. This class was online and the midterm and final was open note. Don’t know how in-person would be, but he was very easygoing during online. 	4	3/18/2022
PSYC128	8.00	"Don't take this class with Daniel Ross. Even though he apparently was nice during previous quarters, he suddenly got pretty unaccommodating during Fall 2020 when I took this class. He also did things like give us a bunch of things due at one time during finals week when we were all stressed out. He also wasn't very considerate of COVID messing with our time/money. Unlike most other professors, those of us who had to get a job/extra jobs during school because of the pandemic weren't accommodated in terms of participation we had to miss (and it was 25% of final grade). He was also really inconsiderate about money, for example he said that a $50 2nd textbook cost couldn't be waived but it's ""just a fraction of your tuition anyway"" (he also mentioned during this announcement that people told him they were struggling to afford food/rent and he basically responded with ""That sucks but I can't do anything about it,"" it was unbelievable). The topics in the class were fairly interesting but Daniel completely ruined it for basically everyone in the class. "	8	1/19/2021
PSYC132	7.00	"Took the class with none other herself: Annie Ditta. As all the students know who's had her: she is the BEST. Super duper accommodating, super duper understanding, super duper organized, and clearly cares about her students and the courses she teaches.
However, this is a tough class. The concepts are interesting. BUT: you have a lot of assignments, and TA's were pretty tough graders. there are two exams (midterm and final), 10 extra credit quizzes, weekly discussion assignments (weeks 2-3, weeks 4-5, and weeks 8-9 were the three toughest ones, and weeks 8-9 was 20% of your grade). Lectures are not mandatory to attend, but lecture attendance does count towards your grade and she checks using PollEv. If you are unable to make it to lecture, you had the option to write at least 2 pages of handwritten notes to make up for it. 
Exams were pretty tricky, you cannot just memorize the concepts, you have to apply them as well. Both exams are 5 short answers. 
Overall, amazing and accommodating professor! But tricky concepts, and lots of assignments."	7	3/28/2022
PSYC133	4.00	Took it with Ditta. It's fun and she's a pretty lenient grader. 	4	3/13/2020
PSYC139	6.00	Burgess. He expects a lot of class participation. There's a 15 page paper at the end.	6	3/13/2020
PSYC140	2.50	Dr. Julia Revord is one of the nicest professors I've ever taken. She is super accommodating and taught the class really well. Lectures were asynchronous for the quarter I took it but honestly most of us only watched like 1 or 2 lectures and did fine, especially because it was all open-note/open book. No homework. Just some short multiple choice tests (20 questions) every so often, and the lowest one is dropped for your final grade. The topic is kind of interesting too. Highly recommend	2	1/19/2021
		Took this with Prof Hughes. Definitely take it with him if you can. He made the concepts easy to understand. Take notes and you’ll do well on the exams. Three 20 question midterms and a final and a short reflection paper. Best class 	3	3/19/2021
PSYC142	3.00	Prof. Sy is entertaining; he really makes an effort to be funny. Tests are easy and straightforward. The extra credit is crazy hard though.  	3	3/7/2019
		Psy’s a fun prof, I didn’t go to lecture much (3 hrs at night? no thanks) but attendance is required for discussion and the TAs give pop quizzes in discussion on the chapter for the week. easy A. 	3	4/11/2019
PSYC150	4.67	For the quarter I took Personality I had Dulce Wilkinson as the instructor, and while most of the course content was mostly easy, she was the most unaccommodating instructor I’ve ever had….. so many fuck ups from offensive test content & final exam content that was never covered to not wanting to give students access to CC’s on livestreams of lectures when they needed them for disabilities…… she seems like she’s an okay person but it was incredible how much she fought ANY change or criticism to the course up until it was time for iEvals…. this is her last quarter at UCR as a grad student but on the off chance she tries to teach here as a professor this info should be known before taking any of her classes!!!!	3	3/9/2022
		"A bit difficult, this professor didn't really present the lecture properly, as each of her lectures she would read off her slides like a poor TED talk. Then when it came to the exams, many of the questions would be worded weirdly, if they weren't questions that had been reused. Not to mention this professor would blatantly ignore students that would have questions about course content. One thing that really defines Professor Wilkinson is a very offensive question she put on the exam about personality disorders, asking the class ""which one is worse"". Now this question is subjective, but comes off as very offensive to those with personality disorders. She did apologize but made the excuse that other classes had no problem with this question. I do wish she was more professional with their work."	8	3/9/2022
		For the quarter I took Personality I had Dulce Wilkinson as the instructor, and while most of the course content was mostly easy, she was the most unaccommodating instructor I’ve ever had….. so many fuck ups from offensive test content & final exam content that was never covered to not wanting to give students access to CC’s on livestreams of lectures when they needed them for disabilities…… she seems like she’s an okay person but it was incredible how much she fought ANY change or criticism to the course up until it was time for iEvals…. this is her last quarter at UCR as a grad student but on the off chance she tries to teach here as a professor this info should be known before taking any of her classes!!!!	3	3/9/2022
PSYC152	6.50	Memorize the diagnostic criteria as soon as possible to make exams easier to handle. The final covers all 60+ disorders and there will be multiple case studies on it so don't forget them. 	8	3/27/2018
		"(Winter 2022) Updated review on Professor Natsuaki. There were 3 midterms in the class (3rd midterm is the ""final"" exam), but you 1 midterm score is dropped. Basically, you have a choice whether or not you want to take a midterm. If you do decide to take all three, the lowest score of whatever midterm you took is dropped. Midterms were pretty easy. First midterm I didn't study much and ended up with a C on it, but I studied more for the other 2 midterms by going over lecture notes and reading the textbook (but only to get more detail on lecture content), and I got an A on the 2nd midterm and a perfect score on the 3rd. We had to write a max 8 page paper on a book (very interesting book!), and another paper on a movie (an amazing movie). Lectures were mandatory to attend since she took attendance using PollEv (but there were time where she didn't do polls). Discussions were required to attend, but you basically go over class content.
Professor Natsuaki herself is a gem. Really sweet person, did her best (and did an amazing job) to accommodate this sudden transition to in-person. She knows that the topics she discusses in class are really sensitive, so she explained the concepts well.
Your TA's grade the two papers you do (movie and book). How tough the grading is depends on your TA. My TA was a pretty harsh grader. I put a lot of effort onto the two papers and got an 80% in the movie paper and 90% on the book paper. One of the other TA's though (Erick) I heard was great. He's supposedly funny, and a hella laid back grader. Also he's pretty close to Professor Natsuaki since he's TA'd for her I wanna say 5 times.
Overall: Do you have to put in the work? Yes. If you do- you're guaranteed an A (hence the 5/10 rating because it depends on you)."	5	3/28/2022
PSYC153	9.00	easily the hardest class I've taken, test wise. Professor words exams VERYYY intricately and throws in the most ridiculous small-detailed concepts into tricky exam questions. Be aware!!	9	6/18/2019
PSYC160	5.00	Took it with Pamela Sheffler and it was such an interesting class! You learn about the development of people throughout the lifespan, which is pretty straightforward and quite insightful. There was 1 midterm, 1 group presentation, a final project (paper), and a final exam. It may seem like a lot of work, but it really reinforced my learning. 	5	6/11/2021
PSYC168	3.00	Took this class with professor Murray, and while the class was obviously based on class/racial topics, she was extremely opinionated and most of the class was basically her ranting. She was also rude to students who asked questions and would often complain about them instead of answering them. Luckily the class was easy, just a few discussions with a final paper and lecture was mandatory, then a midterm and final that are both open note.	3	4/30/2022
PSYC175	4.00	It’s an upper division class, but honestly SOOOO INTERESTING. This class is taught my professor Clark and he’s very well versed in it since he created the class. I loved this class so much and he’s an amazing professor. I took the class online so it was a little different. But- 10 quizzes = 50% of your grade and 1 final = 50% of your grade. 	4	6/8/2020
PSYC178	2.00	"SPRING 2021 - Professor Melissa Wilson - Super interesting and easygoing class. The exams are basically just lecture material with a little bit of questions where you apply certain concepts to specific scenarios. 1 essay that is pretty easy because most TAs are really nice and helpful. 1 final, 4 ""mini-exams,"" and reading quizzes. "	2	6/17/2021
PSYC179	5.00	Dr. Robbins was fairly straightforward with her exams, but her intervention assignment was a bit difficult. You don't learn what's expected until after the rough draft is due. 	5	3/27/2018
PSYC182E	2.00	Prob depends heavily on who you take it with. i took it with Dr. Cecelia Cheung and basically the only “required” work was an in-class worksheet that we could work on together every week and a final project that was really minimal. No tests, no papers. As a psych major I can confidently say it’s by far the easiest psych class I’ve ever take, but this only holds for Dr. Cheung’s version of the class.	2	11/30/2021
PSYC189	7.00	Dr. Rosenbaum made the class easy but the material itself was complicated. Interesting class but you need to go to lecture if you want an A. 	7	3/27/2018
RLST001	4.00	Professor Alexander is not necessarily a bad professor. I mean, at the end, he did kind of deteriorate but overall his class wasn't all too bad. Make sure you get the general ideas in the books that you are required to read. Midterm and final exam are the same format and aren't really difficult. The one downside, and it's huge, is that the class was at the Theater and it was at 7:40 in the morning. 	4	1/1/2019
RLST002	3.00	avoid prof oh. hes super unprepared for lectures and has a somewhat heavy accent, reading helps with the pop quizzes but you can easily just google his study guides for the midterm and final, essays are pretty easy and weekly discussion posts are easy points 	4	4/21/2018
		took it with Dr. Isaac this quarter, at first I was reluctant but this was my easiest class this quarter. He gave us the midterm verbatim and plans to do the same with the final. Our only assignment was an essay in which it was basically just a writing exercise because he gave us questions to answer. Overall a great class and professor. 	2	11/26/2019
		Prof Issac will lecture forever but as long as you study the study guides you will pass the class easily. one midterm one final and an essay. don't need to go to lectures if you do the readings... overall not a very difficult class just make sure to do well on the exams.	3	2/7/2020
